feature,importance
t07__RF_Abnormal_Probability,0.0001486709
t27__Engine_Vibration_mm_s_past_std10,0.0001484441
t19__Fuel_Level_pct_past_mean10,0.00014739376
t27__Engine_RPM_past_mean10,0.00014734491
t27__Coolant_Temp_C_past_std10,0.00014378603
t23__Battery_Voltage_V,0.0001416579
t25__Fuel_Level_pct,0.00014031418
t29__Oil_Pressure_bar_past_std10,0.00013872588
t12__Coolant_Temp_C_past_mean10,0.00013823339
t20__Odometer_km,0.0001378321
t01__Brake_Pad_Wear_pct,0.00013773065
t26__Fuel_Level_pct,0.0001343074
t29__Engine_Vibration_mm_s,0.00013426253
t26__Coolant_Temp_C_past_std10,0.00013334703
t12__Odometer_per_Hour,0.00013243839
t01__Fuel_Level_pct_past_std10,0.00013196537
t27__Coolant_Temp_C_past_mean10,0.0001290157
t02__Engine_RPM_past_std10,0.00012470277
t00__Operating_Hours,0.00012352868
t17__Fuel_Level_pct_past_mean10,0.00012322175
t24__Odometer_per_Hour,0.0001224373
t06__Engine_Load_pct_past_mean10,0.00012236451
t21__Engine_Load_pct_past_std10,0.000121727644
t15__Fuel_Level_pct,0.00012162054
t02__Brake_Pad_Wear_pct_past_mean10,0.00011863203
t28__Engine_RPM_past_std10,0.00011732947
t06__BrakeWear_per_Hour,0.0001166799
t20__Engine_RPM_past_std10,0.00011638009
t11__Fuel_Level_pct_past_mean10,0.000115443996
t16__Brake_Pad_Wear_pct,0.000112322894
t21__Odometer_per_Hour,0.00011205676
t00__Coolant_Temp_C_past_std10,0.00010858292
t11__Odometer_per_Hour,0.00010818622
t13__Fuel_Level_pct,0.0001075694
t05__Engine_Load_pct_past_std10,0.00010692312
t15__Fuel_Level_pct_past_std10,0.000104632185
t27__Engine_RPM_past_std10,0.000104304054
t02__BrakeWear_per_Hour,0.000102804515
t00__Engine_Load_pct_past_std10,0.00010254833
t03__Engine_Vibration_mm_s_past_mean10,0.00010246709
t12__BrakeWear_per_Hour,0.000102091006
t20__Fuel_Level_pct_past_std10,0.000101916485
t22__Odometer_per_Hour,0.00010161586
t15__Coolant_Temp_C_past_std10,0.00010081907
t00__Oil_Pressure_bar_past_std10,0.00010065908
t20__Operating_Hours,0.00010040965
t02__Engine_Vibration_mm_s_past_std10,9.87482e-05
t04__Fuel_Level_pct_past_mean10,9.797268e-05
t10__Oil_Temp_C,9.653643e-05
t10__RF_Abnormal_Probability,9.601849e-05
t25__BrakeWear_per_Hour,9.368127e-05
t19__Brake_Pad_Wear_pct_past_std10,9.273219e-05
t08__Fuel_Level_pct,9.256231e-05
t18__Oil_Temp_C_delta1,9.236999e-05
t24__Fuel_Level_pct_past_std10,9.193084e-05
t23__Oil_Pressure_bar_past_mean10,9.1108086e-05
t13__Engine_Load_pct_past_mean10,9.1027614e-05
t08__Odometer_km,9.087128e-05
t09__Engine_RPM_past_mean10,8.981768e-05
t19__Engine_Load_pct_past_mean10,8.9781526e-05
t25__Brake_Pad_Wear_pct_past_mean10,8.969658e-05
t18__Oil_Pressure_bar_past_std10,8.9037356e-05
t17__BrakeWear_per_Hour,8.819882e-05
t06__Fuel_Level_pct,8.68278e-05
t19__Engine_RPM_past_mean10,8.611014e-05
t03__Engine_RPM_past_std10,8.575754e-05
t27__Engine_Vibration_mm_s_past_mean10,8.448589e-05
t15__Engine_Load_pct_past_std10,8.442797e-05
t26__Fuel_Level_pct_past_std10,8.409288e-05
t02__Fuel_Level_pct,8.300087e-05
t17__Battery_Voltage_V,8.216939e-05
t13__Engine_Vibration_mm_s_past_std10,8.145298e-05
t03__RF_Abnormal_Probability,7.823284e-05
t22__Fuel_Level_pct_past_std10,7.756994e-05
t08__Engine_Load_pct_past_std10,7.750906e-05
t07__Oil_Pressure_bar,7.663717e-05
t27__RF_Abnormal_Probability,7.4208394e-05
t19__Fuel_Level_pct,7.412671e-05
t13__Coolant_Temp_C_past_mean10,7.325031e-05
t05__Coolant_Temp_C_past_mean10,7.3064955e-05
t29__Fuel_Level_pct_past_std10,7.30079e-05
t16__Fuel_Level_pct_past_mean10,7.118263e-05
t06__Ambient_Temp_C,7.02358e-05
t07__Coolant_Temp_C,7.012756e-05
t29__Engine_RPM_past_mean10,7.010729e-05
t16__Fuel_Level_pct,6.9877875e-05
t10__Brake_Pad_Wear_pct,6.9185095e-05
t21__Coolant_Temp_C_past_mean10,6.896345e-05
t07__Battery_Voltage_V,6.8616035e-05
t10__Fuel_Level_pct_past_mean10,6.795222e-05
t24__Engine_Vibration_mm_s_past_std10,6.780847e-05
t23__Engine_Vibration_mm_s_past_mean10,6.7806286e-05
t22__Fuel_Level_pct_past_mean10,6.568442e-05
t10__BrakeWear_per_Hour,6.4555265e-05
t19__Odometer_km,6.4519605e-05
t07__Engine_Vibration_mm_s_past_std10,6.361005e-05
t28__Coolant_Temp_C_past_mean10,6.341963e-05
t11__Engine_RPM_past_std10,6.281096e-05
t01__Coolant_Temp_C_past_mean10,6.2276915e-05
t22__Engine_Vibration_mm_s_past_std10,6.21089e-05
t05__RF_Abnormal_Probability,6.1802886e-05
t02__Brake_Pad_Wear_pct,6.161295e-05
t11__Oil_Temp_C,6.1306e-05
t07__Coolant_Temp_C_past_std10,6.0843486e-05
t10__Engine_Load_pct_past_std10,6.009957e-05
t01__Exhaust_Gas_Temp_C,5.9490576e-05
t11__Oil_Pressure_bar_past_std10,5.887957e-05
t16__Fuel_Level_pct_past_std10,5.8691214e-05
t27__Turbo_Boost_kPa,5.8044312e-05
t06__RF_Abnormal_Probability,5.8002275e-05
t13__Battery_Voltage_V,5.781261e-05
t18__Coolant_Temp_C_past_mean10,5.755855e-05
t00__Brake_Pad_Wear_pct_past_std10,5.7187743e-05
t07__Odometer_per_Hour,5.6892062e-05
t19__BrakeWear_per_Hour,5.6068642e-05
t03__Engine_RPM_past_mean10,5.5771387e-05
t17__Engine_Vibration_mm_s_past_std10,5.4675842e-05
t06__Coolant_Temp_C_delta1,5.4648204e-05
t24__RF_Abnormal_Probability,5.3591495e-05
t06__Engine_RPM_past_mean10,5.295999e-05
t07__Coolant_Temp_C_past_mean10,5.257162e-05
t14__RF_Abnormal_Probability,5.2417592e-05
t14__Coolant_Temp_C_past_mean10,5.1808882e-05
t21__Engine_Vibration_mm_s_past_std10,5.1763458e-05
t00__Fuel_Level_pct_past_std10,5.1304538e-05
t09__Fuel_Level_pct,5.031654e-05
t06__Odometer_per_Hour,4.954385e-05
t26__Engine_Vibration_mm_s_past_std10,4.9225662e-05
t12__Oil_Pressure_bar,4.894623e-05
t15__Engine_RPM_past_mean10,4.8334303e-05
t20__Engine_RPM_past_mean10,4.828577e-05
t13__Engine_RPM_past_std10,4.7982132e-05
t13__Fuel_Level_pct_past_std10,4.7770358e-05
t00__Engine_Vibration_mm_s_past_std10,4.7700047e-05
t24__Engine_Load_pct_past_mean10,4.6806763e-05
t28__Coolant_Temp_C,4.6797002e-05
t18__Brake_Pad_Wear_pct_past_std10,4.6636025e-05
t14__Coolant_Temp_C_past_std10,4.6181078e-05
t28__Coolant_Temp_C_past_std10,4.5971865e-05
t28__Engine_Load_pct_past_mean10,4.560066e-05
t28__Oil_Temp_C,4.5509194e-05
t15__Coolant_Temp_C_past_mean10,4.5257766e-05
t09__Coolant_Ambient_Delta,4.498472e-05
t07__Oil_Pressure_bar_past_std10,4.470214e-05
t14__Fuel_Level_pct_past_std10,4.4640128e-05
t19__Oil_Temp_C,4.4496013e-05
t10__Engine_RPM_past_std10,4.440772e-05
t11__Fuel_Level_pct,4.4243225e-05
t04__Fuel_Level_pct_past_std10,4.4153305e-05
t04__RF_Abnormal_Probability,4.354151e-05
t16__Coolant_Temp_C_past_mean10,4.2736487e-05
t09__Engine_RPM_past_std10,4.2729363e-05
t27__Fuel_Level_pct,4.2637756e-05
t00__Fuel_Level_pct,4.2559324e-05
t15__Engine_Vibration_mm_s_past_std10,4.2479263e-05
t17__Fuel_Level_pct_past_std10,4.2467524e-05
t18__Engine_RPM_past_mean10,4.2406362e-05
t26__Odometer_per_Hour,4.2113727e-05
t17__Engine_RPM_past_mean10,4.1926523e-05
t11__Battery_Voltage_V,4.1912524e-05
t23__Coolant_Temp_C_past_mean10,4.1260264e-05
t07__Engine_RPM_past_mean10,4.043392e-05
t16__Oil_Pressure_bar_past_std10,4.0407558e-05
t18__Engine_Load_pct_past_mean10,4.035753e-05
t20__Fuel_Level_pct,4.0335784e-05
t21__Fuel_Level_pct_past_std10,4.0038016e-05
t25__Engine_RPM_past_mean10,3.9981638e-05
t13__Engine_RPM_past_mean10,3.9888393e-05
t04__Engine_Vibration_mm_s_past_std10,3.982116e-05
t29__Engine_Vibration_mm_s_past_std10,3.9619612e-05
t08__Coolant_Temp_C_past_mean10,3.9126273e-05
t03__Coolant_Temp_C_past_mean10,3.83092e-05
t12__Engine_Load_pct_past_std10,3.8232403e-05
t23__Engine_Load_pct_past_mean10,3.8159134e-05
t05__Coolant_Temp_C_past_std10,3.81256e-05
t20__Brake_Pad_Wear_pct_past_std10,3.806904e-05
t27__Oil_Pressure_bar_delta1,3.7740298e-05
t09__Engine_Load_pct_past_mean10,3.7526832e-05
t20__Coolant_Temp_C_past_std10,3.740069e-05
t16__Engine_Load_pct_past_mean10,3.737792e-05
t02__Coolant_Temp_C_past_mean10,3.7308633e-05
t04__Oil_Pressure_bar_past_std10,3.712284e-05
t15__Engine_Vibration_mm_s,3.7116806e-05
t05__Load_RPM_Ratio,3.705308e-05
t26__Engine_Load_pct_past_mean10,3.697405e-05
t10__Coolant_Temp_C_past_std10,3.61821e-05
t22__Fuel_Level_pct,3.5951394e-05
t00__Coolant_Temp_C_past_mean10,3.5742396e-05
t22__RF_Abnormal_Probability,3.569573e-05
t19__Fuel_Level_pct_past_std10,3.5525623e-05
t10__Engine_Load_pct_past_mean10,3.5508718e-05
t07__Oil_Temp_C,3.53381e-05
t06__Coolant_Temp_C_past_std10,3.5134675e-05
t09__Odometer_per_Hour,3.4751905e-05
t19__RF_Abnormal_Probability,3.4711928e-05
t09__Battery_Voltage_V,3.4604833e-05
t21__RF_Abnormal_Probability,3.455029e-05
t10__Fuel_Level_pct_past_std10,3.4302353e-05
t10__Oil_Pressure_bar_past_std10,3.4296718e-05
t26__Oil_Pressure_bar_past_std10,3.345304e-05
t12__Engine_Load_pct_past_mean10,3.3405293e-05
t10__Engine_Vibration_mm_s_delta1,3.2871103e-05
t11__Coolant_Temp_C_past_mean10,3.264773e-05
t04__Engine_RPM_past_std10,3.257044e-05
t25__RF_Abnormal_Probability,3.181886e-05
t09__Coolant_Temp_C_past_std10,3.1784428e-05
t03__Coolant_Temp_C_past_std10,3.1656095e-05
t06__Fuel_Level_pct_past_std10,3.1297288e-05
t29__Engine_Load_pct_past_mean10,3.0638646e-05
t25__Coolant_Temp_C_past_std10,3.0385092e-05
t25__Fuel_Level_pct_past_mean10,3.037836e-05
t25__Brake_Pad_Wear_pct_past_std10,3.0294785e-05
t03__Fuel_Level_pct_past_std10,2.9990051e-05
t04__Engine_Load_pct_past_std10,2.9804673e-05
t22__Oil_Pressure_bar_past_std10,2.9323992e-05
t13__Coolant_Temp_C,2.9297595e-05
t24__Fuel_Level_pct,2.9252484e-05
t15__Operating_Hours,2.8962795e-05
t12__Engine_RPM_past_mean10,2.8721613e-05
t11__Fuel_Level_pct_past_std10,2.8679216e-05
t29__Engine_RPM_past_std10,2.8664708e-05
t13__Engine_Load_pct_past_std10,2.864179e-05
t21__Fuel_Level_pct,2.8036719e-05
t08__Engine_Load_pct_past_mean10,2.7889047e-05
t12__Engine_Vibration_mm_s_past_std10,2.784862e-05
t06__Engine_Vibration_mm_s,2.7572523e-05
t03__Brake_Pad_Wear_pct,2.755359e-05
t23__Engine_RPM_past_std10,2.7288575e-05
t01__Engine_Load_pct_past_mean10,2.6716085e-05
t25__Engine_Vibration_mm_s_past_std10,2.665846e-05
t19__Throttle_Position_pct,2.6554377e-05
t29__Engine_Load_pct_past_std10,2.6365125e-05
t04__Engine_RPM_past_mean10,2.6070235e-05
t23__Fuel_Level_pct_past_std10,2.605152e-05
t25__Oil_Pressure_bar_past_std10,2.5933476e-05
t05__Oil_Pressure_bar,2.5715191e-05
t02__Fuel_Level_pct_past_std10,2.5658832e-05
t23__Engine_Load_pct_past_std10,2.5527732e-05
t27__Engine_Load_pct_past_mean10,2.549681e-05
t28__Oil_Pressure_bar_past_std10,2.5440515e-05
t27__Fuel_Level_pct_past_mean10,2.5420288e-05
t17__Coolant_Temp_C_past_std10,2.523206e-05
t13__Oil_Pressure_bar,2.5230729e-05
t09__Coolant_Temp_C,2.5156065e-05
t10__Engine_RPM,2.5056428e-05
t27__Oil_Temp_C,2.4878413e-05
t09__Oil_Temp_C,2.4544806e-05
t28__Engine_Vibration_mm_s_past_std10,2.4332341e-05
t25__Coolant_Temp_C_past_mean10,2.4073179e-05
t17__Engine_Load_pct_past_mean10,2.3991848e-05
t20__Oil_Temp_C,2.3896097e-05
t18__RF_Abnormal_Probability,2.3629504e-05
t20__Exhaust_Ambient_Delta,2.342583e-05
t19__Oil_Pressure_bar_past_std10,2.2739516e-05
t07__Intake_Air_Temp_C,2.2418995e-05
t04__Engine_Load_pct_past_mean10,2.2410799e-05
t15__Battery_Voltage_V,2.240631e-05
t17__Coolant_Temp_C_delta1,2.2214661e-05
t18__Odometer_per_Hour,2.2014367e-05
t18__Brake_Pad_Wear_pct,2.1983658e-05
t24__Engine_Load_pct_past_std10,2.1868414e-05
t18__Engine_RPM,2.1684531e-05
t24__Engine_RPM_past_std10,2.1653392e-05
t11__Intake_Air_Temp_C,2.1341546e-05
t12__Oil_Ambient_Delta,2.111788e-05
t22__Coolant_Temp_C_past_std10,2.1028005e-05
t17__Coolant_Temp_C_past_mean10,2.0942818e-05
t04__Brake_Pad_Wear_pct_past_std10,2.085152e-05
t14__Coolant_Temp_C_delta1,2.0563106e-05
t15__Engine_RPM_past_std10,2.0353287e-05
t07__Fuel_Level_pct_past_std10,2.0227086e-05
t06__Engine_Vibration_mm_s_past_std10,2.0145775e-05
t21__Engine_RPM_past_std10,2.0047144e-05
t04__Fuel_Level_pct,1.9944686e-05
t10__Engine_RPM_past_mean10,1.9678153e-05
t15__Oil_Pressure_bar,1.9657895e-05
t14__Engine_Load_pct_past_mean10,1.930242e-05
t19__Coolant_Temp_C_past_std10,1.9038484e-05
t14__Ambient_Temp_C,1.8933462e-05
t10__Fuel_Level_pct,1.8928871e-05
t24__Oil_Pressure_bar_past_std10,1.8868619e-05
t21__Engine_RPM_past_mean10,1.8688348e-05
t16__Oil_Temp_C,1.8573779e-05
t12__Brake_Pad_Wear_pct_past_std10,1.8464483e-05
t21__Oil_Temp_C,1.832045e-05
t16__Engine_RPM_past_mean10,1.8253466e-05
t08__Engine_Vibration_mm_s,1.8030289e-05
t04__Oil_Pressure_bar,1.7900893e-05
t09__Engine_Load_pct_past_std10,1.790071e-05
t27__Oil_Pressure_bar,1.7577762e-05
t24__Coolant_Temp_C,1.7433988e-05
t18__Intake_Air_Temp_C,1.7233917e-05
t04__Coolant_Temp_C_past_std10,1.7174056e-05
t20__Engine_Load_pct_past_std10,1.7042361e-05
t17__Odometer_per_Hour,1.6958385e-05
t00__Coolant_Ambient_Delta,1.69337e-05
t26__Engine_Vibration_mm_s,1.688398e-05
t03__Engine_Vibration_mm_s,1.6686055e-05
t13__Oil_Temp_C,1.6615428e-05
t09__Engine_Vibration_mm_s_past_std10,1.6545204e-05
t18__Engine_RPM_past_std10,1.643028e-05
t16__Oil_Pressure_bar_delta1,1.6410091e-05
t22__Intake_Air_Temp_C,1.6393404e-05
t25__Engine_Load_pct_past_mean10,1.6343074e-05
t05__Engine_RPM_past_std10,1.617121e-05
t22__Oil_Temp_C,1.6069367e-05
t28__Exhaust_Gas_Temp_C,1.5874912e-05
t03__Exhaust_Gas_Temp_C,1.5811527e-05
